Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2004,HARYANA,Faridabad,2,AVTAR SINGH BHADANA,INC,0,8th Pass,48,"Rs 97,63,648 ~ 97 Lacs+",Rs 0 ~,Yes,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1222
2004,HARYANA,Faridabad,1,AKHTAR HUSAIN,IND,0,12th Pass,36,"Rs 1,93,000 ~ 1 Lacs+","Rs 43,000 ~ 43 Thou+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1235
2004,HARYANA,Faridabad,3,BALDEV SINGH,IND,0,Not Given,48,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1232
2004,HARYANA,Faridabad,4,CHANDER BHAN SHARMA,IND,0,10th Pass,33,"Rs 1,00,000 ~ 1 Lacs+","Rs 2,70,000 ~ 2 Lacs+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1231
2004,HARYANA,Faridabad,5,CHAUDHARY AKHTAR,SP,0,Not Given,46,"Rs 1,28,280 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1228
2004,HARYANA,Faridabad,6,DEVENDER BHADANA,HVP,0,10th Pass,36,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1226
2004,HARYANA,Faridabad,7,DR. K. P. SINGH,IND,0,Doctorate,46,"Rs 1,92,500 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1227
2004,HARYANA,Faridabad,8,HAJI ABDUL MALIK,BSP,6,Graduate,45,"Rs 1,12,89,031 ~ 1 Crore+","Rs 4,85,539 ~ 4 Lacs+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1225
2004,HARYANA,Faridabad,9,KAMAL GODARA,IND,0,Not Given,37,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1234
2004,HARYANA,Faridabad,10,LOKENDRA SINGH,SHS,0,Literate,37,"Rs 3,37,236 ~ 3 Lacs+","Rs 76,537 ~ 76 Thou+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1230
2004,HARYANA,Faridabad,11,MOHD. ILYAS,INLD,0,Graduate,50,"Rs 79,74,248 ~ 79 Lacs+","Rs 79,000 ~ 79 Thou+",No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1223
2004,HARYANA,Faridabad,12,RAM NIWAS RATHI,LJNSP,0,10th Pass,40,Not Available,Not Available,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1233
2004,HARYANA,Faridabad,13,RAMCHANDER BAINDA,BJP,0,10th Pass,53,"Rs 2,02,26,019 ~ 2 Crore+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1224
2004,HARYANA,Faridabad,14,SUBHASH BAGHEL,LP(S),0,12th Pass,36,"Rs 1,85,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/loksabha2004/candidate.php?candidate_id=1229
