Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,MADHYA PRADESH,Khajuraho,4,JEETENDRA SINGH,BJP,0,Post Graduate,50,"Rs 1,05,96,506 ~ 1 Crore+",Rs 0 ~,Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=3237
2009,MADHYA PRADESH,Khajuraho,1,AKANCHHA JAIN,IND,0,Literate,34,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3244
2009,MADHYA PRADESH,Khajuraho,2,AKEEL KHAN,IND,0,10th Pass,43,"Rs 55,000 ~ 55 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3243
2009,MADHYA PRADESH,Khajuraho,3,JAYAWANT SINGH,SP,0,Post Graduate,49,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3236
2009,MADHYA PRADESH,Khajuraho,5,KRISHNA SHARAN SINGH (RAJA BHAIYA),IND,0,10th Pass,36,"Rs 16,59,336 ~ 16 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3245
2009,MADHYA PRADESH,Khajuraho,6,M. SHAKIL,GMS,2,8th Pass,38,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3240
2009,MADHYA PRADESH,Khajuraho,7,NARENDRA KUMAR,IND,0,Post Graduate,54,"Rs 42,02,000 ~ 42 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3246
2009,MADHYA PRADESH,Khajuraho,8,RAJA PATERYA,INC,0,12th Pass,49,"Rs 1,54,37,836 ~ 1 Crore+","Rs 8,38,003 ~ 8 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3238
2009,MADHYA PRADESH,Khajuraho,9,RAJENDRA AHIRWAR,IND,0,12th Pass,43,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3247
2009,MADHYA PRADESH,Khajuraho,10,RAM NATH LODHI,IND,0,Literate,41,"Rs 22,01,000 ~ 22 Lacs+","Rs 3,15,000 ~ 3 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3248
2009,MADHYA PRADESH,Khajuraho,11,SAROJ BACHCHAN NAYAK,JD(U),0,Post Graduate,56,"Rs 62,75,763 ~ 62 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3241
2009,MADHYA PRADESH,Khajuraho,12,SEWA LAL PATEL,BSP,0,8th Pass,49,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3239
2009,MADHYA PRADESH,Khajuraho,13,SHABNAM (MAUSI),IND,0,Illiterate,48,"Rs 43,81,100 ~ 43 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3249
2009,MADHYA PRADESH,Khajuraho,14,SHUKL SITARAM,IND,0,10th Pass,48,"Rs 8,62,000 ~ 8 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3250
2009,MADHYA PRADESH,Khajuraho,15,SURYA BHAN SINGH (YADAV GURUJI),AIFB,0,Post Graduate,75,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=3242
