Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2019,RAJASTHAN,RAJSAMAND,6,Diya Kumari,BJP,0,Others,48,Not Available,Not Available,Yes,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=9565
2019,RAJASTHAN,RAJSAMAND,1,Bhanwar Lal Kumawat,IND,0,Literate,51,"Rs 46,81,563 ~ 46 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10824
2019,RAJASTHAN,RAJSAMAND,2,Bhanwer Lal Mali,IND,0,Literate,55,"Rs 12,28,828 ~ 12 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=9566
2019,RAJASTHAN,RAJSAMAND,3,Chandra Prakash Tanwar,Ambedkarite Party of India,0,5th Pass,44,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10825
2019,RAJASTHAN,RAJSAMAND,4,Chenaram,BSP,0,Graduate,45,"Rs 73,74,000 ~ 73 Lacs+","Rs 8,851 ~ 8 Thou+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10826
2019,RAJASTHAN,RAJSAMAND,5,Devkinandan (Kaka),INC,1,Post Graduate,76,"Rs 25,15,86,733 ~ 25 Crore+","Rs 1,86,11,248 ~ 1 Crore+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=9564
2019,RAJASTHAN,RAJSAMAND,7,Jitendra Kumar Khatik,IND,0,Post Graduate,43,"Rs 35,48,316 ~ 35 Lacs+","Rs 1,21,498 ~ 1 Lacs+",No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10827
2019,RAJASTHAN,RAJSAMAND,8,Mishri Kathat,Indian Peoples Green Party,0,8th Pass,67,"Rs 13,00,000 ~ 13 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10829
2019,RAJASTHAN,RAJSAMAND,9,Neeru Ram Kapri,IND,0,Graduate,49,Not Available,Not Available,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10830
2019,RAJASTHAN,RAJSAMAND,10,Rakesh Choudhari (Rakesh Samdolav),IND,0,Graduate,40,"Rs 15,95,000 ~ 15 Lacs+",Rs 0 ~,No,https://www.myneta.info/LokSabha2019/candidate.php?candidate_id=10831
