Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2019,WEST BENGAL,ULUBERIA,7,Sajda Ahmed,AITC,0,Graduate,57,"Rs 2,83,51,569 ~ 2 Crore+","Rs 53,22,615 ~ 53 Lacs+",Yes
2019,WEST BENGAL,ULUBERIA,1,Alimuddin Nazir,Rashtriya Janadhikar Suraksha Party,0,12th Pass,26,"Rs 50,000 ~ 50 Thou+",Rs 0 ~,No
2019,WEST BENGAL,ULUBERIA,2,Amal Barman,IND,0,10th Pass,42,"Rs 24,37,609 ~ 24 Lacs+",Rs 0 ~,No
2019,WEST BENGAL,ULUBERIA,3,Durgadas Hajra,IND,0,12th Pass,62,Not Available,Not Available,No
2019,WEST BENGAL,ULUBERIA,4,Joy Banerjee,BJP,2,Graduate,56,"Rs 2,46,933 ~ 2 Lacs+",Rs 0 ~,No
2019,WEST BENGAL,ULUBERIA,5,Maksuda Khatun,CPI(M),0,Doctorate,58,"Rs 1,25,78,736 ~ 1 Crore+","Rs 28,76,353 ~ 28 Lacs+",No
2019,WEST BENGAL,ULUBERIA,6,Minati Sarkar,SUCI(C),0,Graduate,61,Not Available,Not Available,No
2019,WEST BENGAL,ULUBERIA,8,Shoma Ranisree Roy ,INC,0,Post Graduate,40,"Rs 54,00,000 ~ 54 Lacs+",Rs 0 ~,No
2019,WEST BENGAL,ULUBERIA,9,Simal Saren,Indian Unity Centre,0,Graduate Professional,33,Not Available,Not Available,No
2019,WEST BENGAL,ULUBERIA,10,Susanta Kumar Dalui,IND,0,10th Pass,54,"Rs 9,10,236 ~ 9 Lacs+","Rs 43,553 ~ 43 Thou+",No
